epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,318.027,1.15377,6.41606,0.01597,0.48439,0.15412,0.15697,0.12535,0.77668,1.93003,0.01422,0.00997792,0.00332597,0.00997792,0.00332597,0.00997792,0.00332597,0.00997792,0.00332597
2,562.706,1.15296,3.85215,0.01574,0.49797,0.25445,0.33806,0.25291,1.02791,1.48891,0.0195,0.0197801,0.00659338,0.0197801,0.00659338,0.0197801,0.00659338,0.0197801,0.00659338
3,792.491,1.22143,2.26109,0.01686,0.54843,0.36267,0.39155,0.27744,1.09912,1.57723,0.02371,0.0293844,0.00979479,0.0293844,0.00979479,0.0293844,0.00979479,0.0293844,0.00979479
4,1015.38,1.28917,1.8609,0.01818,0.72374,0.40076,0.46317,0.32815,1.05451,1.21033,0.0205,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1234.66,1.27413,1.60799,0.01767,0.69227,0.49516,0.54548,0.40867,0.88649,1.11442,0.01716,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1456.88,1.23344,1.4354,0.01692,0.774,0.5214,0.64537,0.4968,0.83223,0.94269,0.01591,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1677.68,1.20524,1.32705,0.01656,0.70003,0.55098,0.70123,0.51387,0.83851,0.86648,0.01592,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1896.8,1.19092,1.26226,0.01635,0.72474,0.67151,0.72572,0.55762,0.78991,0.78587,0.01497,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2116.55,1.15812,1.17245,0.01569,0.75294,0.63955,0.72428,0.58678,0.75821,0.72853,0.01455,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2336.91,1.14803,1.14115,0.01564,0.61969,0.77373,0.80088,0.65402,0.73332,0.6488,0.01366,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2557.84,1.11414,1.06306,0.01496,0.7682,0.68598,0.74949,0.60363,0.70352,0.66279,0.01296,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2781.22,1.09771,1.04399,0.01478,0.80008,0.69629,0.81431,0.63336,0.73379,0.62299,0.0135,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,3001.16,1.09422,1.00713,0.01471,0.78406,0.70333,0.84153,0.66877,0.67652,0.55309,0.01243,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,3220.4,1.07324,0.95813,0.01435,0.70078,0.80857,0.82742,0.68349,0.66204,0.57015,0.01202,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,3439.81,1.05644,0.9271,0.0141,0.68462,0.77549,0.82392,0.68647,0.66225,0.56049,0.01195,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,3653.7,1.04353,0.89587,0.01397,0.77403,0.78584,0.84022,0.69616,0.68235,0.52347,0.01236,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,3875.17,1.03783,0.86578,0.0138,0.80311,0.74814,0.8454,0.69026,0.68196,0.52755,0.01247,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,4094.73,1.03184,0.83089,0.01361,0.75924,0.7627,0.83834,0.68097,0.68248,0.61579,0.01233,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,4316.32,1.01455,0.81061,0.01351,0.83947,0.77669,0.87357,0.73029,0.62071,0.49748,0.01119,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,4536.1,0.99161,0.80055,0.01308,0.82913,0.79183,0.8778,0.72524,0.63211,0.52137,0.01125,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,4756.54,0.98386,0.77884,0.01301,0.77963,0.84978,0.87932,0.74115,0.62363,0.47807,0.01103,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,4969.26,0.97703,0.77851,0.01292,0.69322,0.86929,0.861,0.71267,0.62066,0.49769,0.01083,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,5183.77,0.95258,0.74521,0.0125,0.7516,0.84691,0.87874,0.73525,0.61248,0.48833,0.01097,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,5394.3,0.94562,0.74424,0.01252,0.81224,0.8311,0.8885,0.73878,0.59514,0.46295,0.01041,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,5604.71,0.94896,0.72827,0.01244,0.83361,0.79088,0.88712,0.73635,0.6057,0.4482,0.01073,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,5817.04,0.93489,0.71365,0.01231,0.88848,0.75971,0.88022,0.74158,0.58543,0.42878,0.0104,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,6034.96,0.92983,0.69017,0.01212,0.84392,0.78629,0.87423,0.73689,0.57916,0.43883,0.01014,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,6249.98,0.91286,0.68222,0.01187,0.89647,0.71951,0.8806,0.72561,0.58562,0.44484,0.01018,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,6460.8,0.90615,0.66851,0.01175,0.79529,0.82704,0.86805,0.75022,0.55661,0.46489,0.00975,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,6671.99,0.90701,0.66799,0.01183,0.79748,0.82801,0.90026,0.77905,0.55794,0.42177,0.0096,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,6885.45,0.8907,0.65464,0.01157,0.82034,0.85024,0.90502,0.77799,0.55686,0.43914,0.00983,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,7099.87,0.89276,0.648,0.01162,0.8818,0.86265,0.91237,0.76765,0.55775,0.42156,0.00976,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,7314.56,0.88426,0.62857,0.0116,0.85885,0.81299,0.88737,0.76104,0.55682,0.40342,0.00963,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,7531.71,0.87551,0.62567,0.01133,0.8972,0.79883,0.89473,0.75958,0.55772,0.40217,0.00984,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,7745.07,0.87026,0.61181,0.01134,0.88409,0.79115,0.88743,0.75693,0.54682,0.4052,0.00952,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,7957.27,0.86949,0.61059,0.01125,0.87729,0.84028,0.90773,0.77907,0.53533,0.38136,0.00926,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,8168.43,0.86492,0.6073,0.01125,0.89526,0.85972,0.91087,0.78891,0.53196,0.41021,0.0092,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,8379.94,0.85717,0.59297,0.01104,0.87897,0.84614,0.89693,0.76105,0.5274,0.38803,0.009,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,8591.02,0.84777,0.59353,0.01091,0.8697,0.87155,0.91386,0.78878,0.52254,0.38293,0.00901,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,8799.96,0.83219,0.57206,0.01079,0.89735,0.81738,0.91738,0.79054,0.52498,0.41108,0.00913,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,9008.64,0.82976,0.5714,0.01066,0.87029,0.86276,0.90781,0.77471,0.51735,0.38738,0.00892,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,9218.71,0.82409,0.56812,0.01057,0.89535,0.83536,0.89552,0.76243,0.50062,0.39259,0.00841,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,9427.43,0.82367,0.56822,0.01067,0.92452,0.81975,0.90285,0.77128,0.51574,0.38669,0.00894,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,230.959,0.80461,0.53273,0.01036,0.91244,0.82681,0.91659,0.79428,0.5044,0.40114,0.0087,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,445.348,0.80383,0.54918,0.01024,0.90597,0.84585,0.9101,0.80083,0.51049,0.4058,0.00882,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,660.296,0.80066,0.53445,0.01023,0.84277,0.88252,0.90335,0.78577,0.50139,0.37113,0.00858,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,869.684,0.79606,0.52481,0.01027,0.91977,0.82935,0.90765,0.78378,0.50148,0.37008,0.00853,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,1077.26,0.79268,0.5328,0.01015,0.89001,0.84688,0.91735,0.79607,0.50969,0.37712,0.00857,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,1288,0.78395,0.51701,0.00991,0.90807,0.83935,0.92074,0.81601,0.49827,0.38887,0.00848,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,1502.02,0.77525,0.50926,0.00994,0.85902,0.87883,0.92877,0.80582,0.50199,0.38024,0.00868,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,1714.33,0.78043,0.52015,0.00997,0.9096,0.8564,0.91696,0.80026,0.50268,0.37206,0.00865,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,1926.92,0.76152,0.50227,0.0097,0.89594,0.86909,0.93253,0.81261,0.49896,0.37585,0.00851,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,2140.99,0.76034,0.50274,0.0097,0.90179,0.85618,0.91749,0.80769,0.50112,0.36673,0.00846,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,2359.15,0.74819,0.49545,0.00952,0.87835,0.87859,0.91665,0.80631,0.49417,0.36274,0.00835,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,2571.91,0.75029,0.48873,0.00951,0.91893,0.88545,0.93574,0.81263,0.49181,0.3617,0.00832,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,2789.16,0.75336,0.48783,0.00961,0.9157,0.85901,0.93047,0.81411,0.49194,0.36866,0.00839,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,3003.21,0.73614,0.47177,0.00931,0.91333,0.87228,0.93941,0.81767,0.49076,0.36513,0.00828,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
